num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,1188.0,1770.0,1188.0
5,1416.0,1770.0,1416.0
6,2368.0,1770.0,2336.0
7,3528.0,1770.0,3465.0
8,4680.0,1770.0,4584.0
9,5859.0,1770.0,5697.0
10,7020.0,1770.0,6840.0
11,7750.0,1770.0,7502.0
12,8976.0,1770.0,8712.0
13,10656.0,1770.0,10360.0
14,13508.0,1770.0,13156.0
15,15322.0,1770.0,14946.0
16,5537.0,1770.0,5390.0
17,5966.666666666667,1770.0,5800.0
18,6358.0,1770.0,6171.0
19,4123.4,1770.0,4006.8
20,3770.6666666666665,1770.0,3668.0
21,4378.5,1770.0,4263.0
22,3208.5555555555557,1770.0,3119.222222222222
23,3182.4,1770.0,3088.8
24,3328.8,1770.0,3233.9
25,3233.4545454545455,1770.0,3136.7272727272725
26,3339.0,1770.0,3241.0
27,3541.818181818182,1770.0,3440.0
28,3388.5,1770.0,3294.0
29,3563.0,1770.0,3458.0
30,3733.8333333333335,1770.0,3626.3333333333335
31,4026.75,1770.0,3913.0
32,3841.6153846153848,1770.0,3727.153846153846
33,3783.0,1770.0,3672.1428571428573
34,3210.9411764705883,1770.0,3107.176470588235
35,3468.705882352941,1770.0,3346.3529411764707
36,3523.764705882353,1770.0,3401.4117647058824
37,3418.3333333333335,1770.0,3295.8333333333335
38,3501.277777777778,1770.0,3376.4444444444443
39,3660.5555555555557,1770.0,3532.222222222222
40,3528.6315789473683,1770.0,3400.1052631578946
41,3452.15,36.0,3466.1052631578946
42,3519.0,36.0,3528.2
43,3600.0,36.0,3611.65
44,3514.5,37.0,3514.285714285714
45,3583.7727272727275,37.0,3584.4761904761904
46,3498.9565217391305,37.0,3494.318181818182
47,3588.2608695652175,37.0,3585.2272727272725
48,3552.0,38.0,3539.4347826086955
49,3457.2,40.0,3440.0
50,3484.0,42.0,3452.68
51,3562.153846153846,42.0,3531.6
52,3562.4444444444443,46.0,3509.3076923076924
53,3718.0,46.0,3664.6923076923076
54,3919.285714285714,96.0,3825.0
55,3955.714285714286,98.0,3855.703703703704
56,3890.0689655172414,98.0,3788.5714285714284
57,3893.4,100.0,3784.8275862068967
58,3827.25,102.0,3710.9032258064517
59,3887.0,106.0,3760.1935483870966
60,3867.3939393939395,108.0,3734.6875
61,3833.1176470588234,114.0,3684.969696969697
62,3886.029411764706,114.0,3737.848484848485
63,3800.0,116.0,3646.457142857143
64,3742.2972972972975,118.0,3584.972222222222
65,3632.8205128205127,124.0,3462.7894736842104
66,3715.230769230769,126.0,3539.5789473684213
67,3651.175,126.0,3477.051282051282
68,3617.8536585365855,94.5,3515.0
69,3614.5238095238096,96.0,3506.25
70,3660.8333333333335,96.0,3553.2
71,3784.6666666666665,96.0,3676.65
72,3842.1428571428573,96.0,3734.25
73,3894.714285714286,97.5,3782.8
74,3913.953488372093,130.0,3780.487804878049
