num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,1976.0,30.0,3204.0
5,3008.0,38.0,4950.0
6,3978.0,42.0,6650.0
7,3461.3333333333335,69.0,4312.0
8,2666.4,42.0,3675.0
9,3095.6,60.0,4221.0
10,3120.0,82.5,3796.0
11,2687.125,85.0,2938.0
12,3266.0,95.0,3639.5
13,2717.2727272727275,95.0,2810.6666666666665
14,2782.5,120.0,2831.4
15,3052.0,126.0,3110.6
16,3121.846153846154,132.0,3141.818181818182
17,3283.6923076923076,135.0,3310.0
18,3211.285714285714,138.0,3201.3333333333335
19,3424.714285714286,138.0,3431.6666666666665
20,3540.6428571428573,141.0,3549.0
21,2949.222222222222,144.0,2866.1875
22,3022.1052631578946,150.0,2920.235294117647
23,3284.7894736842104,156.0,3192.0
24,3102.0,156.0,2991.315789473684
25,3130.681818181818,162.0,3002.4
26,3269.4545454545455,165.0,3138.2
27,3262.913043478261,199.5,3099.4285714285716
28,3232.125,199.5,3066.0
29,3433.3333333333335,206.5,3254.7272727272725
30,3471.6,210.0,3283.6521739130435
31,3270.0,213.5,3071.3846153846152
32,3331.714285714286,213.5,3134.076923076923
33,3296.1724137931033,147.0,3204.3076923076924
34,3239.3333333333335,147.0,3141.1111111111113
35,3342.5,151.66666666666666,3235.5555555555557
36,3482.866666666667,151.66666666666666,3382.0
37,3442.090909090909,151.66666666666666,3324.5333333333333
38,3346.285714285714,161.0,3208.59375
39,3387.3055555555557,189.33333333333334,3218.7272727272725
40,3524.3055555555557,189.33333333333334,3356.3636363636365
41,3598.8888888888887,189.33333333333334,3432.5757575757575
42,3429.74358974359,144.0,3342.342857142857
43,3319.390243902439,146.0,3215.0810810810813
44,3376.487804878049,152.0,3258.4864864864867
45,3337.3809523809523,152.0,3214.684210526316
46,3376.4651162790697,152.0,3252.3076923076924
47,3458.6046511627906,154.0,3347.923076923077
48,3349.8478260869565,156.0,3224.5714285714284
49,3414.1304347826085,160.0,3280.3809523809523
50,3459.282608695652,162.0,3320.9523809523807
51,3449.6170212765956,166.0,3299.0232558139537
52,3294.06,166.0,3136.0
53,3303.823529411765,166.0,3143.4893617021276
54,3373.764705882353,166.0,3215.1063829787236
55,3388.0,168.0,3221.4583333333335
56,3369.9622641509436,170.0,3197.081632653061
57,3388.377358490566,170.0,3216.4285714285716
58,3457.9622641509436,170.0,3285.469387755102
59,3395.4545454545455,172.0,3217.176470588235
60,3418.090909090909,174.0,3236.156862745098
61,3368.8947368421054,174.0,3184.0754716981132
62,3435.7894736842104,174.0,3252.0754716981132
63,3451.862068965517,176.0,3263.0
64,3393.0,158.4,3247.6
65,3449.6,158.4,3304.7272727272725
66,3343.6190476190477,158.4,3191.7241379310344
67,3377.1428571428573,158.4,3225.310344827586
68,3378.375,158.4,3224.915254237288
69,3363.4615384615386,146.66666666666666,3250.6101694915255
70,3396.923076923077,146.66666666666666,3285.4576271186443
71,3430.5384615384614,148.33333333333334,3315.9322033898306
72,3464.3076923076924,148.33333333333334,3351.101694915254
73,3510.3384615384616,148.33333333333334,3397.6949152542375
74,3490.3333333333335,148.33333333333334,3374.766666666667
