num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,36200.0,1770.0,34680.0
5,36200.0,1770.0,34680.0
6,36200.0,1770.0,34680.0
7,36200.0,1770.0,34680.0
8,36200.0,1770.0,34680.0
9,36200.0,1770.0,34680.0
10,780.0,1770.0,676.0
11,884.0,1770.0,780.0
12,1022.0,1770.0,896.0
13,1064.0,1770.0,938.0
14,1120.0,1770.0,994.0
15,1162.0,1770.0,1022.0
16,1246.0,1770.0,1106.0
17,1316.0,1770.0,1176.0
18,1440.0,1770.0,1290.0
19,1648.0,1770.0,1472.0
20,1680.0,1770.0,1472.0
21,1836.0,1770.0,1615.0
22,1980.0,1770.0,1728.0
23,2147.0,1770.0,1881.0
24,2400.0,1770.0,2120.0
25,2583.0,1770.0,2289.0
26,2772.0,1770.0,2464.0
27,2794.0,1770.0,2486.0
28,2882.0,1770.0,2574.0
29,2926.0,1770.0,2596.0
30,2970.0,1770.0,2596.0
31,3014.0,1770.0,2640.0
32,3058.0,1770.0,2684.0
33,3197.0,1770.0,2806.0
34,3220.0,1770.0,2829.0
35,3266.0,1770.0,2875.0
36,3358.0,1770.0,2967.0
37,3675.0,1770.0,3250.0
38,4023.0,1770.0,3564.0
39,4228.0,1770.0,3752.0
40,2218.5,25.0,3808.0
41,2218.5,25.0,3808.0
42,2233.0,26.0,3808.0
43,2233.0,26.0,3808.0
44,2247.5,26.0,3836.0
45,2262.0,26.0,3864.0
46,2262.0,26.0,3864.0
47,2291.0,26.0,3920.0
48,2305.5,26.0,3948.0
49,2334.5,26.0,4004.0
50,2363.5,27.0,4032.0
51,2392.5,27.0,4088.0
52,2407.0,28.0,4088.0
53,2505.0,28.0,4263.0
54,2520.0,28.0,4292.0
55,2520.0,28.0,4292.0
56,2535.0,28.0,4321.0
57,2550.0,28.0,4350.0
58,2635.0,28.0,4500.0
59,2635.0,28.0,4500.0
60,2650.5,28.0,4530.0
61,2650.5,28.0,4530.0
62,2650.5,28.0,4530.0
63,2650.5,28.0,4530.0
64,2650.5,28.0,4530.0
65,2666.0,28.0,4560.0
66,2681.5,28.0,4590.0
67,2681.5,28.0,4590.0
68,2681.5,28.0,4590.0
69,2697.0,28.0,4620.0
70,2697.0,28.0,4620.0
71,2697.0,28.0,4620.0
72,2697.0,28.0,4620.0
73,2712.5,28.0,4650.0
74,2743.5,28.0,4710.0
