num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,1764.0,36.0,34680.0
4,910.0,13.0,1131.0
5,36200.0,1770.0,34680.0
6,1586.6666666666667,22.0,2100.0
7,3510.0,54.0,5796.0
8,1234.8,1770.0,1056.0
9,1642.142857142857,31.0,1647.0
10,3852.0,54.0,4410.0
11,3181.2,75.0,3402.0
12,3141.5,19.0,3740.0
13,2016.0,22.0,3001.5
14,1982.1818181818182,53.333333333333336,2306.25
15,2766.875,23.0,4830.0
16,2923.0,72.0,3087.714285714286
17,2626.0,60.0,3048.0
18,3221.3333333333335,56.0,4109.333333333333
19,2188.75,81.0,2136.3636363636365
20,4472.0,42.0,5817.0
21,2252.25,53.333333333333336,2590.222222222222
22,1840.9411764705883,71.66666666666667,1917.5
23,2848.4615384615386,74.0,2946.5454545454545
24,2187.3571428571427,78.0,2214.0
25,2857.6,123.0,2719.8888888888887
26,2677.5,102.5,2653.3571428571427
27,2584.0,87.5,2601.0
28,2143.714285714286,129.0,2004.0
29,2501.6,123.0,2392.0
30,1865.8235294117646,44.0,1995.0
31,1754.4,64.0,1728.3076923076924
32,2199.1666666666665,41.0,2424.1428571428573
33,2338.285714285714,86.0,2303.0
34,3052.5,105.0,2998.125
35,3042.714285714286,107.5,3013.3333333333335
36,2449.0,94.0,2561.3809523809523
37,3230.0,123.0,3069.1666666666665
38,2767.5,82.0,2769.714285714286
39,4998.0,168.0,4895.25
40,3873.4615384615386,76.66666666666667,4342.0
41,3208.5333333333333,125.33333333333333,3390.0
42,2274.2,105.75,2210.076923076923
43,3167.8125,83.25,3613.5
44,3108.5714285714284,160.0,2928.3076923076924
45,2236.3636363636365,86.0,2276.785714285714
46,4659.375,96.0,4693.857142857143
47,2470.5882352941176,96.0,2318.0
48,3238.5,107.5,3200.1428571428573
49,2577.0588235294117,133.0,2509.2
50,2737.5384615384614,80.0,2713.478260869565
51,2764.823529411765,90.0,2856.0
52,2710.714285714286,276.0,2472.45
53,3198.0,245.0,2927.0588235294117
54,3996.705882352941,104.0,4436.076923076923
55,2703.0,90.0,2764.5555555555557
56,2728.9473684210525,68.0,2980.8
57,2096.0,90.0,2065.7894736842104
58,3641.478260869565,100.0,3609.1
59,2953.75,156.0,2905.8823529411766
60,2275.0,114.0,2228.3076923076924
61,2963.764705882353,166.66666666666666,2967.1428571428573
62,2469.24,74.0,2417.8695652173915
63,2944.9411764705883,72.0,3084.714285714286
64,4498.2,102.0,4368.0
65,2876.8333333333335,156.0,2721.909090909091
66,2837.3333333333335,110.0,2773.769230769231
67,3719.55,203.0,3480.5555555555557
68,3646.9166666666665,120.0,3817.8
69,3885.714285714286,96.0,3968.0
70,2481.6190476190477,122.5,2387.3684210526317
71,2512.2916666666665,109.33333333333333,2436.0
72,2442.4444444444443,140.0,2324.64
73,1963.9333333333334,123.33333333333333,1841.7777777777778
74,2372.0666666666666,74.4,2444.4
