num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,36200.0,1770.0,34680.0
5,36200.0,1770.0,34680.0
6,36200.0,1770.0,34680.0
7,36200.0,1770.0,34680.0
8,36200.0,1770.0,34680.0
9,36200.0,1770.0,34680.0
10,36200.0,1770.0,34680.0
11,36200.0,1770.0,34680.0
12,36200.0,1770.0,34680.0
13,36200.0,1770.0,34680.0
14,36200.0,1770.0,34680.0
15,36200.0,1770.0,34680.0
16,36200.0,1770.0,34680.0
17,36200.0,1770.0,34680.0
18,36200.0,1770.0,34680.0
19,36200.0,1770.0,34680.0
20,36200.0,1770.0,34680.0
21,36200.0,1770.0,34680.0
22,36200.0,1770.0,34680.0
23,36200.0,1770.0,34680.0
24,2980.0,1770.0,2414.0
25,3080.0,1770.0,2499.0
26,3255.0,1770.0,2664.0
27,3454.0,1770.0,2850.0
28,3564.0,1770.0,2945.0
29,3772.0,1770.0,3140.0
30,4482.0,1770.0,3792.0
31,2281.5,48.0,3840.0
32,2380.0,48.0,4025.0
33,2494.0,51.0,4212.0
34,2595.0,51.0,4401.0
35,1818.6666666666667,34.0,4482.0
36,1877.3333333333333,34.0,4648.0
37,1947.0,34.0,4843.0
38,2220.0,34.0,5610.0
39,2292.6666666666665,34.0,5814.0
40,2501.0,34.0,6401.0
41,2576.0,34.0,6612.0
42,2618.0,34.0,6726.0
43,2632.0,34.0,6764.0
44,2709.0,42.5,6802.0
45,2723.3333333333335,42.5,6840.0
46,2786.6666666666665,42.5,7020.0
47,2850.0,42.5,7200.0
48,2850.0,42.5,7200.0
49,2928.6666666666665,42.5,7421.0
50,2928.6666666666665,42.5,7421.0
51,3008.0,42.5,7644.0
52,3023.6666666666665,42.5,7686.0
53,3088.0,42.5,7869.0
54,3104.0,42.5,7912.0
55,3217.6666666666665,42.5,8228.0
56,3300.0,42.5,8460.0
57,3316.6666666666665,42.5,8505.0
58,3333.3333333333335,42.5,8550.0
59,3400.0,42.5,8740.0
60,3417.0,42.5,8786.0
61,3434.0,42.5,8832.0
62,3451.0,42.5,8878.0
63,3451.0,42.5,8878.0
64,3536.0,42.5,9118.0
65,3621.6666666666665,42.5,9360.0
66,3621.6666666666665,42.5,9360.0
67,3726.0,42.5,9653.0
68,3795.0,42.5,9850.0
69,3831.6666666666665,42.5,9950.0
70,3920.0,42.5,10200.0
71,3938.6666666666665,42.5,10251.0
72,3006.75,42.5,5226.0
73,3021.0,42.5,5252.0
74,3035.25,42.5,5278.0
