num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,36200.0,1770.0,34680.0
5,36200.0,1770.0,34680.0
6,36200.0,1770.0,34680.0
7,36200.0,1770.0,34680.0
8,36200.0,1770.0,34680.0
9,36200.0,1770.0,34680.0
10,36200.0,1770.0,34680.0
11,36200.0,1770.0,34680.0
12,36200.0,1770.0,34680.0
13,36200.0,1770.0,34680.0
14,36200.0,1770.0,34680.0
15,36200.0,1770.0,34680.0
16,3234.0,1770.0,2720.0
17,3542.0,1770.0,2982.0
18,3933.0,1770.0,3344.0
19,4628.0,1770.0,3950.0
20,4810.0,1770.0,4100.0
21,4914.0,1770.0,4200.0
22,5174.0,1770.0,4450.0
23,5400.0,1770.0,4654.0
24,5768.0,1770.0,4995.0
25,6541.0,1770.0,5670.0
26,6665.0,1770.0,5790.0
27,7008.0,1770.0,6107.0
28,7359.0,1770.0,6432.0
29,7650.0,1770.0,6699.0
30,4025.0,1770.0,3519.0
31,2796.0,33.0,3657.5
32,2844.0,33.0,3727.5
33,2856.0,33.0,3745.0
34,2984.6666666666665,33.0,3924.0
35,3034.0,33.0,3996.0
36,3083.3333333333335,33.0,4068.0
37,3230.0,33.0,4273.5
38,3242.6666666666665,33.0,4292.0
39,3341.0,34.0,4408.0
40,3798.6666666666665,34.0,5031.0
41,3960.0,34.0,5258.0
42,3990.0,34.0,5302.0
43,4050.0,34.0,5390.0
44,4110.0,35.0,5456.0
45,4140.0,35.0,5500.0
46,4200.0,35.0,5588.0
47,4245.0,35.0,5654.0
48,4305.0,35.0,5742.0
49,4365.0,36.0,5808.0
50,4492.666666666667,37.0,5962.5
51,4523.333333333333,37.0,6007.5
52,4668.666666666667,74.0,6075.0
53,4800.0,74.0,6256.0
54,4864.0,78.0,6302.0
55,4896.0,78.0,6348.0
56,5047.0,78.0,6556.5
57,5166.666666666667,80.0,6696.0
58,5216.666666666667,80.0,6768.0
59,5283.333333333333,84.0,6840.0
60,5350.0,86.0,6912.0
61,5383.333333333333,88.0,6936.0
62,5416.666666666667,88.0,6984.0
63,5450.0,88.0,7032.0
64,5500.0,90.0,7080.0
65,5500.0,90.0,7080.0
66,5533.333333333333,90.0,7128.0
67,5583.333333333333,90.0,7200.0
68,5600.0,92.0,7200.0
69,5700.0,94.0,7320.0
70,5700.0,94.0,7320.0
71,5766.666666666667,94.0,7416.0
72,5816.666666666667,94.0,7488.0
73,5850.0,94.0,7536.0
74,5866.666666666667,94.0,7560.0
