num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,704.0,1770.0,696.0
5,1344.0,1770.0,1332.0
6,1935.0,1770.0,1890.0
7,1449.0,1770.0,1404.0
8,1820.0,1770.0,1760.0
9,2211.0,1770.0,2145.0
10,2507.0,1770.0,2403.5
11,2760.0,1770.0,2640.0
12,3172.0,1770.0,3016.0
13,3915.0,1770.0,3735.0
14,3173.3333333333335,1770.0,3033.3333333333335
15,3648.0,1770.0,3483.3333333333335
16,3126.25,1770.0,2982.75
17,2662.8,1770.0,2545.2
18,2912.8,1770.0,2789.6
19,2726.0,1770.0,2616.3333333333335
20,2956.3333333333335,1770.0,2825.6666666666665
21,2739.4285714285716,1770.0,2615.5714285714284
22,3025.0,1770.0,2883.5714285714284
23,3240.8571428571427,1770.0,3094.285714285714
24,3082.5,32.0,3287.1428571428573
25,3323.25,32.0,3551.714285714286
26,2937.6,32.0,3059.6666666666665
27,3152.4,33.0,3282.222222222222
28,3350.4545454545455,34.0,3456.0
29,3566.181818181818,34.0,3685.2
30,3336.25,34.0,3421.090909090909
31,3560.0,38.0,3624.0
32,3738.5833333333335,38.0,3812.7272727272725
33,3753.153846153846,38.0,3808.0
34,3929.5384615384614,38.0,3993.5
35,3702.9333333333334,39.0,3720.0
36,3617.4375,39.0,3621.6
37,3360.8333333333335,39.0,3522.0625
38,3113.15,39.0,3225.1666666666665
39,3072.1428571428573,40.0,3164.0
40,3230.0,40.0,3331.4210526315787
41,3302.8571428571427,41.0,3403.3684210526317
42,3432.285714285714,42.0,3534.4736842105262
43,3519.2380952380954,63.0,3598.157894736842
44,3476.4545454545455,64.5,3536.25
45,3471.782608695652,67.5,3510.0
46,3588.2608695652175,72.0,3614.4761904761904
47,3552.2083333333335,75.0,3557.2727272727275
48,3593.52,75.0,3592.1739130434785
49,3465.8518518518517,100.0,3422.4
50,3537.925925925926,100.0,3497.24
51,3524.8571428571427,100.0,3479.0
52,3610.1428571428573,106.0,3561.230769230769
53,3568.9655172413795,110.0,3504.0
54,3554.7,110.0,3485.535714285714
55,3502.2580645161293,112.0,3424.137931034483
56,3562.8387096774195,112.0,3485.5172413793102
57,3537.75,116.0,3446.1666666666665
58,3639.9375,116.0,3549.733333333333
59,3680.4375,118.0,3586.6
60,3738.8125,118.0,3646.4
61,3695.0,120.0,3593.935483870968
62,3812.121212121212,120.0,3710.9032258064517
63,3772.0588235294117,120.0,3668.78125
64,3819.4117647058824,120.0,3717.0
65,3800.0,124.0,3684.2727272727275
66,3851.885714285714,126.0,3731.878787878788
67,4002.6857142857143,126.0,3883.2727272727275
68,3864.0,126.0,3738.8571428571427
69,3802.2368421052633,126.0,3675.3055555555557
70,3878.7368421052633,126.0,3751.5555555555557
71,3965.7631578947367,128.0,3833.5
72,3925.35,128.0,3788.1052631578946
73,3873.2195121951218,130.0,3730.0
74,3753.5581395348836,134.0,3598.8536585365855
