num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,1400.0,42.0,34680.0
5,2356.0,44.0,34680.0
6,3243.0,50.0,34680.0
7,2106.0,56.0,3300.0
8,1787.6666666666667,43.5,4144.0
9,2176.0,46.5,5115.0
10,2246.75,49.5,3600.0
11,2564.5,54.0,4192.5
12,2891.0,60.0,4817.5
13,2734.8,66.0,3791.0
14,3025.0,69.0,4204.666666666667
15,3444.0,69.0,4833.333333333333
16,3202.5,70.5,4071.75
17,3657.0,72.0,4673.25
18,3674.0,72.0,4425.0
19,3480.0,73.5,4004.0
20,3640.0,73.5,4073.1428571428573
21,3712.5,75.0,4049.75
22,3967.8,75.0,4350.0
23,3902.7272727272725,76.5,4194.666666666667
24,4072.6363636363635,76.5,4387.0
25,3976.0,79.5,4224.0
26,4197.5,81.0,4463.5
27,3809.714285714286,82.5,3944.0
28,4023.8571428571427,87.0,4144.25
29,3685.5,88.5,3720.0
30,3719.294117647059,88.5,3735.3333333333335
31,4125.176470588235,91.5,4136.933333333333
32,4387.882352941177,94.5,4390.533333333334
33,4309.5,96.0,4284.625
34,4206.631578947368,96.0,4166.588235294118
35,4126.2,97.5,4063.8888888888887
36,4076.190476190476,99.0,3991.5789473684213
37,4062.7272727272725,99.0,3969.0
38,4190.181818181818,99.0,4100.25
39,4118.869565217391,99.0,4015.7619047619046
40,4217.739130434783,99.0,4120.476190476191
41,4378.826086956522,99.0,4283.333333333333
42,4140.0,99.0,4024.3478260869565
43,4082.3076923076924,99.0,3959.375
44,4028.8888888888887,99.0,3901.56
45,4092.0,132.0,3945.48
46,3861.103448275862,132.0,3707.4444444444443
47,3711.483870967742,132.0,3553.2758620689656
48,3708.0,132.0,3546.9
49,3577.5882352941176,136.0,3402.1875
50,3600.4117647058824,136.0,3426.0625
51,3591.0285714285715,140.0,3403.818181818182
52,3542.0,140.0,3355.1470588235293
53,3291.375,140.0,3105.4736842105262
54,3231.190476190476,142.0,3045.15
55,3200.186046511628,144.0,3010.3414634146343
56,3265.1162790697676,146.0,3070.0
57,3278.8636363636365,146.0,3085.285714285714
58,3232.0434782608695,148.0,3035.4545454545455
59,3256.521739130435,148.0,3059.5
60,3193.2244897959185,150.0,2991.7021276595747
61,3150.0,150.0,2949.4285714285716
62,3195.8039215686276,150.0,2994.285714285714
63,3293.4901960784314,154.0,3079.816326530612
64,3304.0,192.5,3076.32
65,3333.0754716981132,192.5,3104.235294117647
66,3283.0,192.5,3055.698113207547
67,3181.189655172414,192.5,2957.5
68,3219.7241379310344,195.0,2990.464285714286
69,3207.5254237288136,195.0,2979.2631578947367
70,3105.032258064516,195.0,2881.2
71,3103.8888888888887,156.0,2916.766666666667
72,3160.6349206349205,158.0,2968.35
73,3177.2698412698414,160.0,2981.2
74,3131.076923076923,160.0,2935.483870967742
