num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,36200.0,1770.0,34680.0
5,36200.0,1770.0,34680.0
6,757.3333333333334,1770.0,730.6666666666666
7,1031.25,1770.0,981.25
8,1488.0,1770.0,1416.0
9,1421.0,1770.0,1351.0
10,1271.0,1770.0,1206.5714285714287
11,1464.5714285714287,1770.0,1382.857142857143
12,1565.142857142857,1770.0,1464.5714285714287
13,1690.7142857142858,1770.0,1587.857142857143
14,1953.0,1770.0,1803.4285714285713
15,1984.5,1770.0,1841.75
16,1957.0,1770.0,1816.888888888889
17,2126.6666666666665,1770.0,1979.7777777777778
18,2112.0,27.0,2184.0
19,2277.0,27.0,2361.6666666666665
20,2244.0,27.0,2311.5
21,2529.4545454545455,28.0,2606.1
22,2528.5,28.0,2590.0
23,2635.0,31.0,2667.0
24,2508.0,31.0,2517.4285714285716
25,2641.2,34.0,2635.1428571428573
26,2333.3888888888887,36.0,2292.705882352941
27,2292.6315789473683,37.0,2243.1111111111113
28,2187.5238095238096,37.0,2131.8
29,2223.6190476190477,37.0,2168.15
30,2321.904761904762,37.0,2268.0
31,2429.1428571428573,37.0,2376.0
32,2400.0,37.0,2346.095238095238
33,2384.086956521739,37.0,2330.0
34,2431.1666666666665,38.0,2370.0
35,2565.0,38.0,2504.1739130434785
36,2653.5,40.0,2583.086956521739
37,2808.75,42.0,2728.2608695652175
38,2854.8,88.0,2741.3333333333335
39,2962.08,92.0,2843.75
40,3049.84,92.0,2931.5
41,3178.4,94.0,3054.375
42,3391.96,96.0,3260.625
43,3545.64,100.0,3401.4583333333335
44,3653.48,104.0,3497.375
45,3868.8,104.0,3708.8333333333335
46,3692.3333333333335,108.0,3520.423076923077
47,3634.0,110.0,3456.777777777778
48,3749.0,112.0,3565.8518518518517
49,3749.310344827586,116.0,3555.285714285714
50,3903.5172413793102,174.0,3684.0
51,3897.6,177.0,3673.551724137931
52,3943.3333333333335,180.0,3712.8275862068967
53,3866.3225806451615,183.0,3633.0
54,3753.5757575757575,195.0,3523.40625
55,3786.121212121212,195.0,3556.59375
56,3824.090909090909,195.0,3595.3125
57,3811.294117647059,195.0,3583.6363636363635
58,3795.1428571428573,195.0,3568.5
59,3728.9189189189187,130.0,3587.1428571428573
60,3689.315789473684,136.0,3545.8888888888887
61,3700.0,136.0,3554.5945945945946
62,3483.720930232558,138.0,3329.7804878048782
63,3461.5454545454545,138.0,3307.190476190476
64,3497.1363636363635,138.0,3342.8571428571427
65,3540.909090909091,138.0,3385.904761904762
66,3416.913043478261,138.0,3261.840909090909
67,3477.217391304348,138.0,3321.931818181818
68,3554.891304347826,172.5,3382.568181818182
69,3477.5,172.5,3305.217391304348
70,3539.8125,172.5,3366.3260869565215
71,3658.375,180.0,3469.0434782608695
72,3582.0,144.0,3449.7872340425533
73,3698.4,146.0,3561.7021276595747
74,3624.9423076923076,148.0,3480.4897959183672
