num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,36200.0,1770.0,34680.0
5,36200.0,1770.0,34680.0
6,36200.0,1770.0,34680.0
7,4800.0,26.0,34680.0
8,6346.0,29.0,34680.0
9,7854.0,30.0,34680.0
10,5100.0,32.0,9050.0
11,3978.0,35.0,5265.0
12,4621.666666666667,76.0,5974.0
13,4125.0,78.0,4766.666666666667
14,4680.0,84.0,5372.333333333333
15,4982.25,86.0,5736.0
16,4560.0,129.0,4894.5
17,4257.0,67.5,5481.0
18,4179.428571428572,67.5,5076.0
19,4742.857142857143,69.0,5782.0
20,4949.0,70.5,6039.0
21,5363.428571428572,72.0,6568.8
22,5770.285714285715,72.0,7102.0
23,6247.285714285715,75.0,7681.2
24,6505.714285714285,75.0,8023.0
25,4819.5,75.0,5323.5
26,5166.0,76.5,5717.25
27,4886.363636363636,79.5,5275.333333333333
28,5074.363636363636,110.0,5425.666666666667
29,4495.153846153846,110.0,4662.0
30,4818.461538461538,112.0,5004.0
31,4735.928571428572,120.0,4850.666666666667
32,4919.285714285715,120.0,5050.333333333333
33,4589.875,120.0,4637.285714285715
34,4850.875,122.0,4905.142857142857
35,4826.823529411765,122.0,4855.2
36,4728.888888888889,126.0,4710.0
37,4575.789473684211,126.0,4535.529411764706
38,3960.0,126.0,3857.1428571428573
39,3424.285714285714,130.0,3275.769230769231
40,3546.5,130.0,3400.0
41,3714.25,130.0,3567.3846153846152
42,3815.5,130.0,3669.5
43,3923.1428571428573,130.0,3780.1153846153848
44,3757.2,130.0,3607.714285714286
45,3711.483870967742,130.0,3559.655172413793
46,3488.5588235294117,130.0,3331.125
47,3486.457142857143,130.0,3328.030303030303
48,3457.222222222222,134.0,3286.676470588235
49,3588.8888888888887,138.0,3406.9411764705883
50,3389.5384615384614,138.0,3205.135135135135
51,3360.9,140.0,3173.684210526316
52,3373.6585365853657,140.0,3185.3846153846152
53,3292.5813953488373,140.0,3104.7804878048782
54,3217.2608695652175,142.0,3030.0454545454545
55,3251.0434782608695,142.0,3063.75
56,3115.1632653061224,142.0,2932.0851063829787
57,3153.92,177.5,2956.25
58,3169.098039215686,177.5,2971.816326530612
59,3171.346153846154,180.0,2969.64
60,3169.6792452830186,180.0,2968.0196078431372
61,3200.943396226415,180.0,2999.0196078431372
62,3176.8518518518517,219.0,2959.0384615384614
63,3106.3928571428573,219.0,2891.4074074074074
64,3150.59649122807,219.0,2933.181818181818
65,3161.0169491525426,255.5,2932.280701754386
66,3175.15,262.5,2938.448275862069
67,3109.451612903226,262.5,2876.8
68,3100.4761904761904,177.33333333333334,2913.3
69,3112.125,177.33333333333334,2924.8524590163934
70,3132.0,179.66666666666666,2940.7258064516127
71,3112.242424242424,179.66666666666666,2921.6507936507937
72,3059.294117647059,179.66666666666666,2869.753846153846
73,3094.205882352941,179.66666666666666,2904.0
74,3045.887323943662,156.0,2884.2985074626868
