num_images,all,giraffes,zebras
2,36200,1770,34680
3,36200,1770,34680
4,36200,1770,34680
5,36200,1770,34680
6,36200,1770,34680
7,36200,1770,34680
8,36200,1770,34680
9,36200,1770,34680
10,36200,1770,34680
11,36200,1770,34680
12,36200,1770,34680
13,36200,1770,34680
14,36200,1770,34680
15,36200,1770,34680
16,36200,1770,34680
17,36200,1770,34680
18,36200,1770,34680
19,36200,1770,34680
20,36200,1770,34680
21,36200,1770,34680
22,36200,1770,34680
23,36200,1770,34680
24,36200,1770,34680
25,36200,1770,34680
26,36200,1770,34680
27,36200,1770,34680
28,36200,1770,34680
29,36200,1770,34680
30,36200,1770,34680
31,36200,1770,34680
32,36200,1770,34680
33,36200,1770,34680
34,36200,1770,34680
35,36200,1770,34680
36,36200,1770,34680
37,36200,1770,34680
38,36200,1770,34680
39,36200,1770,34680
40,36200,1770,34680
41,36200,1770,34680
42,36200,1770,34680
43,36200,1770,34680
44,36200,1770,34680
45,36200,1770,34680
46,36200,1770,34680
47,36200,1770,34680
48,36200,1770,34680
49,36200,1770,34680
50,36200,1770,34680
51,36200,1770,34680
52,36200,1770,34680
53,36200,1770,34680
54,36200,1770,34680
55,36200,1770,34680
56,36200,1770,34680
57,36200,1770,34680
58,36200,1770,34680
59,36200,1770,34680
60,36200,1770,34680
61,36200,1770,34680
62,36200,1770,34680
63,36200,1770,34680
64,36200,1770,34680
65,36200,1770,34680
66,36200,1770,34680
67,36200,1770,34680
68,36200,1770,34680
69,36200,1770,34680
70,36200,1770,34680
71,36200,1770,34680
72,36200,1770,34680
73,36200,1770,34680
74,36200,1770,34680
