num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,340.0,12.0,34680.0
5,896.0,15.0,34680.0
6,1116.0,16.0,34680.0
7,1529.0,18.0,34680.0
8,1848.0,19.0,34680.0
9,2028.0,19.0,34680.0
10,1134.0,20.0,1914.0
11,1280.5,21.0,2172.0
12,1498.0,24.0,2561.0
13,1747.5,48.0,2808.0
14,2082.5,48.0,3420.0
15,2460.5,52.0,4080.0
16,3685.5,87.0,6024.0
17,4088.0,96.0,6675.0
18,3193.0,99.0,3962.0
19,2310.0,105.0,2432.0
20,2280.0,144.0,2275.2
21,2248.285714285714,95.0,2568.8
22,2543.1428571428573,97.5,2935.6
23,1974.7,80.0,2291.285714285714
24,2126.7,80.0,2487.8571428571427
25,2413.6,82.0,2857.1428571428573
26,2622.0,84.0,3132.0
27,2513.818181818182,84.0,2905.0
28,2676.3636363636365,84.0,3110.25
29,2652.0,86.0,3003.5555555555557
30,2776.6666666666665,88.0,3150.222222222222
31,2435.0,88.0,2610.5
32,2633.3333333333335,90.0,2834.8333333333335
33,2439.529411764706,90.0,2560.714285714286
34,2460.277777777778,90.0,2564.866666666667
35,2512.222222222222,90.0,2622.8
36,2567.3684210526317,90.0,2667.0
37,2493.2380952380954,92.0,2552.0
38,2601.1428571428573,96.0,2660.0
39,2748.2272727272725,100.0,2797.684210526316
40,2776.318181818182,104.0,2818.1052631578946
41,2837.181818181818,104.0,2884.4736842105262
42,2930.4545454545455,108.0,2975.2105263157896
43,2856.7083333333335,116.0,2887.2380952380954
44,2892.8,122.0,2901.2727272727275
45,2985.4,122.0,3000.0
46,3034.56,122.0,3052.5
47,2789.8571428571427,122.0,2770.76
48,2741.103448275862,122.0,2714.076923076923
49,2678.2258064516127,106.75,2712.6666666666665
50,2650.5,110.25,2667.6428571428573
51,2680.242424242424,110.25,2692.4137931034484
52,2770.848484848485,117.25,2771.551724137931
53,2808.0,117.25,2811.103448275862
54,2888.181818181818,117.25,2895.8275862068967
55,2999.030303030303,117.25,3013.137931034483
56,3080.6363636363635,117.25,3100.344827586207
57,3136.909090909091,117.25,3160.8275862068967
58,3198.5454545454545,117.25,3226.344827586207
59,3160.470588235294,119.0,3173.3333333333335
60,3154.5142857142855,119.0,3160.6451612903224
61,3201.0285714285715,120.75,3206.451612903226
62,3221.3333333333335,124.25,3212.65625
63,3246.5,124.25,3239.84375
64,3193.8947368421054,124.25,3172.0588235294117
65,3155.6,127.75,3117.222222222222
66,3125.4146341463415,127.75,3082.054054054054
67,3188.0,127.75,3147.189189189189
68,3266.682926829268,127.75,3228.7027027027025
69,3282.9756097560976,129.5,3241.7567567567567
70,3314.9268292682927,148.0,3254.810810810811
71,3355.268292682927,148.0,3296.9189189189187
72,3354.0,148.0,3291.315789473684
73,3288.0,148.0,3215.225
74,3379.090909090909,150.0,3304.3
